name	dist	support	dup_percent	dup_sp	evoltype	lineage	named_lineage	rank	sci_name	taxid
GB_GCA_001768965.1	0.08925					1|2|82|1318|2638|7107|7108|11383|11384	root|d__Archaea|p__Thermoproteota|c__Bathyarchaeia|o__40CM-2-53-6|f__FEN-987|g__FEN-987|s__FEN-987 sp001768965|GB_GCA_001768965.1	subspecies	s__FEN-987 sp001768965	GB_GCA_001768965.1
GB_GCA_003152955.1	0.10263					1|2|82|1318|2638|7107|7108|7109|7110	root|d__Archaea|p__Thermoproteota|c__Bathyarchaeia|o__40CM-2-53-6|f__FEN-987|g__FEN-987|s__FEN-987 sp003152955|GB_GCA_003152955.1	subspecies	s__FEN-987 sp003152955	GB_GCA_003152955.1
N3446	0.28609				S	1|2|82|1318|2638|5703|5704	root|d__Archaea|p__Thermoproteota|c__Bathyarchaeia|o__40CM-2-53-6|f__RBG-13-38-9|g__RBG-13-38-9	genus	g__RBG-13-38-9	g__RBG-13-38-9
GB_GCA_018397035.1	0.16535					1|2|82|1318|2638|5703|7129|7130|7131	root|d__Archaea|p__Thermoproteota|c__Bathyarchaeia|o__40CM-2-53-6|f__RBG-13-38-9|g__JAGTQV01|s__JAGTQV01 sp018397035|GB_GCA_018397035.1	subspecies	s__JAGTQV01 sp018397035	GB_GCA_018397035.1
N3451	0.01772				S	1|2|82|1318|2638|5703|10041	root|d__Archaea|p__Thermoproteota|c__Bathyarchaeia|o__40CM-2-53-6|f__RBG-13-38-9|g__DTMT01	genus	g__DTMT01	g__DTMT01
GB_GCA_011355205.1	0.02331					1|2|82|1318|2638|5703|10041|11208|11209	root|d__Archaea|p__Thermoproteota|c__Bathyarchaeia|o__40CM-2-53-6|f__RBG-13-38-9|g__DTMT01|s__DTMT01 sp011355205|GB_GCA_011355205.1	subspecies	s__DTMT01 sp011355205	GB_GCA_011355205.1
N3458	0.01611				S	1|2|82|1318|2638|4893|4894	root|d__Archaea|p__Thermoproteota|c__Bathyarchaeia|o__40CM-2-53-6|f__DTDX01|g__DTDX01	genus	g__DTDX01	g__DTDX01
GB_GCA_011369655.1	0.05445					1|2|82|1318|2638|4893|4894|4895|4897	root|d__Archaea|p__Thermoproteota|c__Bathyarchaeia|o__40CM-2-53-6|f__DTDX01|g__DTDX01|s__DTDX01 sp011369655|GB_GCA_011369655.1	subspecies	s__DTDX01 sp011369655	GB_GCA_011369655.1
GB_GCA_011389385.1	0.08116					1|2|82|1318|2638|6563|6564|6565|6566	root|d__Archaea|p__Thermoproteota|c__Bathyarchaeia|o__40CM-2-53-6|f__DTGE01|g__DTGE01|s__DTGE01 sp011389385|GB_GCA_011389385.1	subspecies	s__DTGE01 sp011389385	GB_GCA_011389385.1
GB_GCA_018396725.1	0.08515					1|2|82|1318|2638|6563|6564|8776|8777	root|d__Archaea|p__Thermoproteota|c__Bathyarchaeia|o__40CM-2-53-6|f__DTGE01|g__DTGE01|s__DTGE01 sp018396725|GB_GCA_018396725.1	subspecies	s__DTGE01 sp018396725	GB_GCA_018396725.1
N3472	0.08268				S	1|2|82|1318|4179|4180|4181	root|d__Archaea|p__Thermoproteota|c__Bathyarchaeia|o__B25|f__B25|g__B25	genus	g__B25	g__B25
GB_GCA_003662485.1	0.08099					1|2|82|1318|4179|4180|4181|11459|11460	root|d__Archaea|p__Thermoproteota|c__Bathyarchaeia|o__B25|f__B25|g__B25|s__B25 sp003662485|GB_GCA_003662485.1	subspecies	s__B25 sp003662485	GB_GCA_003662485.1
N3550	0.10734				S	1|2|82|83|84|2771	root|d__Archaea|p__Thermoproteota|c__Thermoproteia|o__Sulfolobales|f__Desulfurococcaceae	family	f__Desulfurococcaceae	f__Desulfurococcaceae
GB_GCA_015522345.1	0.2375					1|2|82|83|84|2771|11403|11404|11405	root|d__Archaea|p__Thermoproteota|c__Thermoproteia|o__Sulfolobales|f__Desulfurococcaceae|g__WAML01|s__WAML01 sp015522345|GB_GCA_015522345.1	subspecies	s__WAML01 sp015522345	GB_GCA_015522345.1
N3571	0.08866				S	1|2|82|83|84|4905	root|d__Archaea|p__Thermoproteota|c__Thermoproteia|o__Sulfolobales|f__Pyrodictiaceae	family	f__Pyrodictiaceae	f__Pyrodictiaceae
N3574	0.20328				S	1|2|82|83|84|4905|6428	root|d__Archaea|p__Thermoproteota|c__Thermoproteia|o__Sulfolobales|f__Pyrodictiaceae|g__Pyrolobus	genus	g__Pyrolobus	g__Pyrolobus
N3627	0.17244				S	1|2|82|83|84|2010	root|d__Archaea|p__Thermoproteota|c__Thermoproteia|o__Sulfolobales|f__Acidilobaceae	family	f__Acidilobaceae	f__Acidilobaceae
N3632	0.23176				S	1|2|82|83|84|2010	root|d__Archaea|p__Thermoproteota|c__Thermoproteia|o__Sulfolobales|f__Acidilobaceae	family	f__Acidilobaceae	f__Acidilobaceae
N3638	0.10174				S	1|2|82|83|84|5438|5439	root|d__Archaea|p__Thermoproteota|c__Thermoproteia|o__Sulfolobales|f__Ignicoccaceae|g__Ignicoccus_A	genus	g__Ignicoccus_A	g__Ignicoccus_A
RS_GCF_001481685.1	0.25568					1|2|82|83|84|5438|7812|7813|7814	root|d__Archaea|p__Thermoproteota|c__Thermoproteia|o__Sulfolobales|f__Ignicoccaceae|g__Ignicoccus|s__Ignicoccus islandicus|RS_GCF_001481685.1	subspecies	s__Ignicoccus islandicus	RS_GCF_001481685.1
N3644	0.15918				S	1|2|82|83|84|2292|3693	root|d__Archaea|p__Thermoproteota|c__Thermoproteia|o__Sulfolobales|f__Fervidicoccaceae|g__ARK-14	genus	g__ARK-14	g__ARK-14
RS_GCF_000258425.1	0.2603					1|2|82|83|84|2292|2293|2294|2298	root|d__Archaea|p__Thermoproteota|c__Thermoproteia|o__Sulfolobales|f__Fervidicoccaceae|g__Fervidicoccus|s__Fervidicoccus fontis|RS_GCF_000258425.1	subspecies	s__Fervidicoccus fontis	RS_GCF_000258425.1
GB_GCA_009904015.1	0.44642					1|2|82|83|84|2292|4379|4380|4381	root|d__Archaea|p__Thermoproteota|c__Thermoproteia|o__Sulfolobales|f__Fervidicoccaceae|g__WYEQ01|s__WYEQ01 sp009904015|GB_GCA_009904015.1	subspecies	s__WYEQ01 sp009904015	GB_GCA_009904015.1
GB_GCA_011380215.1	0.32876					1|2|82|83|84|2292|9173|9174|9175	root|d__Archaea|p__Thermoproteota|c__Thermoproteia|o__Sulfolobales|f__Fervidicoccaceae|g__DRZC01|s__DRZC01 sp011380215|GB_GCA_011380215.1	subspecies	s__DRZC01 sp011380215	GB_GCA_011380215.1
N3679	0.14311				S	1|2|82|83|84|3752	root|d__Archaea|p__Thermoproteota|c__Thermoproteia|o__Sulfolobales|f__Ignisphaeraceae	family	f__Ignisphaeraceae	f__Ignisphaeraceae
GB_GCA_003661905.1	0.36749					1|2|82|83|84|3752|5733|5734|5735	root|d__Archaea|p__Thermoproteota|c__Thermoproteia|o__Sulfolobales|f__Ignisphaeraceae|g__B12-G17|s__B12-G17 sp003661905|GB_GCA_003661905.1	subspecies	s__B12-G17 sp003661905	GB_GCA_003661905.1
N3686	0.06428				S	1|2|82|83|84|2353	root|d__Archaea|p__Thermoproteota|c__Thermoproteia|o__Sulfolobales|f__AG1	family	f__AG1	f__AG1
GB_GCA_009903825.1	0.43478					1|2|82|83|84|2353|4085|4086|4087	root|d__Archaea|p__Thermoproteota|c__Thermoproteia|o__Sulfolobales|f__AG1|g__WYEN01|s__WYEN01 sp009903825|GB_GCA_009903825.1	subspecies	s__WYEN01 sp009903825	GB_GCA_009903825.1
N3706	0.04863				S	1|2|82|83|84|2384	root|d__Archaea|p__Thermoproteota|c__Thermoproteia|o__Sulfolobales|f__NBVN01	family	f__NBVN01	f__NBVN01
N3709	0.48015				S	1|2|82|83|84|2384|6549	root|d__Archaea|p__Thermoproteota|c__Thermoproteia|o__Sulfolobales|f__NBVN01|g__DRZP01	genus	g__DRZP01	g__DRZP01
GB_GCA_011337845.1	0.16511					1|2|82|83|84|2384|2385|2386|2387	root|d__Archaea|p__Thermoproteota|c__Thermoproteia|o__Sulfolobales|f__NBVN01|g__DTCV01|s__DTCV01 sp011337845|GB_GCA_011337845.1	subspecies	s__DTCV01 sp011337845	GB_GCA_011337845.1
GB_GCA_011366425.1	0.1846					1|2|82|83|84|2384|2385|3760|3761	root|d__Archaea|p__Thermoproteota|c__Thermoproteia|o__Sulfolobales|f__NBVN01|g__DTCV01|s__DTCV01 sp011366425|GB_GCA_011366425.1	subspecies	s__DTCV01 sp011366425	GB_GCA_011366425.1
N3740	0.09026				S	1|2|82|83|84|85	root|d__Archaea|p__Thermoproteota|c__Thermoproteia|o__Sulfolobales|f__Sulfolobaceae	family	f__Sulfolobaceae	f__Sulfolobaceae
N3755	0.0511				S	1|2|82|83|84|85	root|d__Archaea|p__Thermoproteota|c__Thermoproteia|o__Sulfolobales|f__Sulfolobaceae	family	f__Sulfolobaceae	f__Sulfolobaceae
N3769	0.08791				S	1|2|82|83|84|85	root|d__Archaea|p__Thermoproteota|c__Thermoproteia|o__Sulfolobales|f__Sulfolobaceae	family	f__Sulfolobaceae	f__Sulfolobaceae
GB_GCA_000389735.1	0.40718					1|2|82|83|84|85|4572|4573|4575	root|d__Archaea|p__Thermoproteota|c__Thermoproteia|o__Sulfolobales|f__Sulfolobaceae|g__Acd1|s__Acd1 sp000389735|GB_GCA_000389735.1	subspecies	s__Acd1 sp000389735	GB_GCA_000389735.1
N3819	0.21566				S	1|2|82|83|1683|2523	root|d__Archaea|p__Thermoproteota|c__Thermoproteia|o__Thermoproteales|f__Thermocladiaceae	family	f__Thermocladiaceae	f__Thermocladiaceae
N3830	0.16191				S	1|2|82|83|1683|2523	root|d__Archaea|p__Thermoproteota|c__Thermoproteia|o__Thermoproteales|f__Thermocladiaceae	family	f__Thermocladiaceae	f__Thermocladiaceae
N3836	0.26022				S	1|2|82|83|1683|2523|6615	root|d__Archaea|p__Thermoproteota|c__Thermoproteia|o__Thermoproteales|f__Thermocladiaceae|g__JAADER01	genus	g__JAADER01	g__JAADER01
GB_GCA_002254895.1	0.24857					1|2|82|83|1683|2523|5839|5840|5841	root|d__Archaea|p__Thermoproteota|c__Thermoproteia|o__Thermoproteales|f__Thermocladiaceae|g__EX4572-64|s__EX4572-64 sp002254895|GB_GCA_002254895.1	subspecies	s__EX4572-64 sp002254895	GB_GCA_002254895.1
N3856	0.16991				S	1|2|82|83|1683|1684|1685	root|d__Archaea|p__Thermoproteota|c__Thermoproteia|o__Thermoproteales|f__Thermoproteaceae|g__Pyrobaculum	genus	g__Pyrobaculum	g__Pyrobaculum
N3865	0.13489				S	1|2|82|83|1683|1684|1997	root|d__Archaea|p__Thermoproteota|c__Thermoproteia|o__Thermoproteales|f__Thermoproteaceae|g__Thermoproteus	genus	g__Thermoproteus	g__Thermoproteus
N3898	0.13297				S	1|2|82|83|2536|2537	root|d__Archaea|p__Thermoproteota|c__Thermoproteia|o__Thermofilales|f__Thermofilaceae	family	f__Thermofilaceae	f__Thermofilaceae
GB_GCA_003649235.1	0.38849					1|2|82|83|2536|7503|7504|7505|7506	root|d__Archaea|p__Thermoproteota|c__Thermoproteia|o__Thermofilales|f__B69-G16|g__B69-G16|s__B69-G16 sp003649235|GB_GCA_003649235.1	subspecies	s__B69-G16 sp003649235	GB_GCA_003649235.1
N3905	0.17812				S	1|2|82|83|2536|4618	root|d__Archaea|p__Thermoproteota|c__Thermoproteia|o__Thermofilales|f__B20-G17	family	f__B20-G17	f__B20-G17
GB_GCA_003650785.1	0.41524					1|2|82|83|2536|4618|10284|10285|10286	root|d__Archaea|p__Thermoproteota|c__Thermoproteia|o__Thermofilales|f__B20-G17|g__B20-G17|s__B20-G17 sp003650785|GB_GCA_003650785.1	subspecies	s__B20-G17 sp003650785	GB_GCA_003650785.1
N3933	0.0293				S	1|2|82|2446|2915|2916|4879	root|d__Archaea|p__Thermoproteota|c__Methanomethylicia|o__Methanomethylicales|f__Methanomethylicaceae|g__Methanosuratus	genus	g__Methanosuratus	g__Methanosuratus
GB_GCA_014361455.1	0.08645					1|2|82|2446|2915|2916|4879|6850|6851	root|d__Archaea|p__Thermoproteota|c__Methanomethylicia|o__Methanomethylicales|f__Methanomethylicaceae|g__Methanosuratus|s__Methanosuratus sp014361455|GB_GCA_014361455.1	subspecies	s__Methanosuratus sp014361455	GB_GCA_014361455.1
N3938	0.17817				S	1|2|82|2446|2915|2916|2917	root|d__Archaea|p__Thermoproteota|c__Methanomethylicia|o__Methanomethylicales|f__Methanomethylicaceae|g__Methanomethylicus	genus	g__Methanomethylicus	g__Methanomethylicus
GB_GCA_011329225.1	0.17788					1|2|82|2446|2915|2916|2917|5489|5490	root|d__Archaea|p__Thermoproteota|c__Methanomethylicia|o__Methanomethylicales|f__Methanomethylicaceae|g__Methanomethylicus|s__Methanomethylicus mesodigestum_A|GB_GCA_011329225.1	subspecies	s__Methanomethylicus mesodigestum_A	GB_GCA_011329225.1
N3958	0.01465				S	1|2|82|2446|2447|2448|2449	root|d__Archaea|p__Thermoproteota|c__Methanomethylicia|o__Nezhaarchaeales|f__WYZ-LMO8|g__WYZ-LMO8	genus	g__WYZ-LMO8	g__WYZ-LMO8
GB_GCA_011362155.1	0.05365					1|2|82|2446|2447|2448|2449|6640|6641	root|d__Archaea|p__Thermoproteota|c__Methanomethylicia|o__Nezhaarchaeales|f__WYZ-LMO8|g__WYZ-LMO8|s__WYZ-LMO8 sp011362155|GB_GCA_011362155.1	subspecies	s__WYZ-LMO8 sp011362155	GB_GCA_011362155.1
N4094	0.05643				S	1|2|1243|1244|1245|1246	root|d__Archaea|p__Asgardarchaeota|c__Lokiarchaeia|o__CR-4|f__SOKP01	family	f__SOKP01	f__SOKP01
N4107	0.06526				S	1|2|1243|1244|1245|1246	root|d__Archaea|p__Asgardarchaeota|c__Lokiarchaeia|o__CR-4|f__SOKP01	family	f__SOKP01	f__SOKP01
GB_GCA_019058015.1	0.03368					1|2|1243|1244|1245|1246|3181|3182|3183	root|d__Archaea|p__Asgardarchaeota|c__Lokiarchaeia|o__CR-4|f__SOKP01|g__6H3-1|s__6H3-1 sp019058015|GB_GCA_019058015.1	subspecies	s__6H3-1 sp019058015	GB_GCA_019058015.1
GB_GCA_019058135.1	0.0371					1|2|1243|1244|1245|1246|3181|9200|9201	root|d__Archaea|p__Asgardarchaeota|c__Lokiarchaeia|o__CR-4|f__SOKP01|g__6H3-1|s__6H3-1 sp019058135|GB_GCA_019058135.1	subspecies	s__6H3-1 sp019058135	GB_GCA_019058135.1
N4119	0.30337				S	1|2|1243|1244|1245|7226|7227	root|d__Archaea|p__Asgardarchaeota|c__Lokiarchaeia|o__CR-4|f__AMARA-1|g__AMARA-1	genus	g__AMARA-1	g__AMARA-1
GB_GCA_014729055.1	0.34349					1|2|1243|1244|1245|7226|10886|10887|10888	root|d__Archaea|p__Asgardarchaeota|c__Lokiarchaeia|o__CR-4|f__AMARA-1|g__WJKO01|s__WJKO01 sp014729055|GB_GCA_014729055.1	subspecies	s__WJKO01 sp014729055	GB_GCA_014729055.1
RS_GCF_008000775.1	0.27613					1|2|1243|1244|1245|6662|6663|10387|10388	root|d__Archaea|p__Asgardarchaeota|c__Lokiarchaeia|o__CR-4|f__MK-D1|g__Prometheoarchaeum|s__Prometheoarchaeum syntrophicum|RS_GCF_008000775.1	subspecies	s__Prometheoarchaeum syntrophicum	RS_GCF_008000775.1
GB_GCA_018238965.1	0.28858					1|2|1243|1244|1245|6662|6663|6664|6665	root|d__Archaea|p__Asgardarchaeota|c__Lokiarchaeia|o__CR-4|f__MK-D1|g__Prometheoarchaeum|s__Prometheoarchaeum sp018238965|GB_GCA_018238965.1	subspecies	s__Prometheoarchaeum sp018238965	GB_GCA_018238965.1
GB_GCA_013375405.1	0.11586					1|2|1243|1244|6301|6302|6303|6304|6305	root|d__Archaea|p__Asgardarchaeota|c__Lokiarchaeia|o__Helarchaeales|f__HEL-GB-A|g__JABXJT01|s__JABXJT01 sp013375405|GB_GCA_013375405.1	subspecies	s__JABXJT01 sp013375405	GB_GCA_013375405.1
GB_GCA_016840125.1	0.14941					1|2|1243|1244|6301|6302|6303|7264|7265	root|d__Archaea|p__Asgardarchaeota|c__Lokiarchaeia|o__Helarchaeales|f__HEL-GB-A|g__JABXJT01|s__JABXJT01 sp016840125|GB_GCA_016840125.1	subspecies	s__JABXJT01 sp016840125	GB_GCA_016840125.1
GB_GCA_016550405.1	0.05902					1|2|1243|3116|3117|3118|3119|11044|11045	root|d__Archaea|p__Asgardarchaeota|c__Hermodarchaeia|o__Hermodarchaeles|f__Hermodarchaeaceae|g__Hermodarchaeum|s__Hermodarchaeum sp016550405|GB_GCA_016550405.1	subspecies	s__Hermodarchaeum sp016550405	GB_GCA_016550405.1
GB_GCA_016550425.1	0.07189					1|2|1243|3116|3117|3118|3119|4520|4521	root|d__Archaea|p__Asgardarchaeota|c__Hermodarchaeia|o__Hermodarchaeles|f__Hermodarchaeaceae|g__Hermodarchaeum|s__Hermodarchaeum sp016550425|GB_GCA_016550425.1	subspecies	s__Hermodarchaeum sp016550425	GB_GCA_016550425.1
GB_GCA_016839995.1	0.0696					1|2|1243|3116|3117|3118|3119|9016|9017	root|d__Archaea|p__Asgardarchaeota|c__Hermodarchaeia|o__Hermodarchaeles|f__Hermodarchaeaceae|g__Hermodarchaeum|s__Hermodarchaeum sp016839995|GB_GCA_016839995.1	subspecies	s__Hermodarchaeum sp016839995	GB_GCA_016839995.1
GB_GCA_016840185.1	0.06637					1|2|1243|3116|3117|3118|3119|10976|10977	root|d__Archaea|p__Asgardarchaeota|c__Hermodarchaeia|o__Hermodarchaeles|f__Hermodarchaeaceae|g__Hermodarchaeum|s__Hermodarchaeum sp016840185|GB_GCA_016840185.1	subspecies	s__Hermodarchaeum sp016840185	GB_GCA_016840185.1
N4227	0.01963				S	1|2|1243|1810|1811|1812	root|d__Archaea|p__Asgardarchaeota|c__Thorarchaeia|o__Thorarchaeales|f__Thorarchaeaceae	family	f__Thorarchaeaceae	f__Thorarchaeaceae
N4234	0.06092				S	1|2|1243|1810|1811|1812|4043	root|d__Archaea|p__Asgardarchaeota|c__Thorarchaeia|o__Thorarchaeales|f__Thorarchaeaceae|g__SMTZ1-83	genus	g__SMTZ1-83	g__SMTZ1-83
N4240	0.03912				S	1|2|1243|1810|1811|1812	root|d__Archaea|p__Asgardarchaeota|c__Thorarchaeia|o__Thorarchaeales|f__Thorarchaeaceae	family	f__Thorarchaeaceae	f__Thorarchaeaceae
GB_GCA_003662765.1	0.17942					1|2|1243|1810|1811|1812|4538|4539|4540	root|d__Archaea|p__Asgardarchaeota|c__Thorarchaeia|o__Thorarchaeales|f__Thorarchaeaceae|g__B65-G9|s__B65-G9 sp003662765|GB_GCA_003662765.1	subspecies	s__B65-G9 sp003662765	GB_GCA_003662765.1
N4277	0.02966				S	1|2|1243|1693|1694|1695|1696	root|d__Archaea|p__Asgardarchaeota|c__Heimdallarchaeia|o__UBA460|f__UBA460|g__UBA460	genus	g__UBA460	g__UBA460
GB_GCA_016839875.1	0.1748					1|2|1243|1693|1694|1695|1696|6161|6162	root|d__Archaea|p__Asgardarchaeota|c__Heimdallarchaeia|o__UBA460|f__UBA460|g__UBA460|s__UBA460 sp016839875|GB_GCA_016839875.1	subspecies	s__UBA460 sp016839875	GB_GCA_016839875.1
N4282	0.03513				S	1|2|1243|1693|1694|1695|1696	root|d__Archaea|p__Asgardarchaeota|c__Heimdallarchaeia|o__UBA460|f__UBA460|g__UBA460	genus	g__UBA460	g__UBA460
GB_GCA_019057375.1	0.06488					1|2|1243|1693|1694|1695|1696|3425|3427	root|d__Archaea|p__Asgardarchaeota|c__Heimdallarchaeia|o__UBA460|f__UBA460|g__UBA460|s__UBA460 sp002505645|GB_GCA_019057375.1	subspecies	s__UBA460 sp002505645	GB_GCA_019057375.1
N4304	0.03334				S	1|2|1243|1693|3827|3828|3829	root|d__Archaea|p__Asgardarchaeota|c__Heimdallarchaeia|o__JABLTI01|f__JABLTI01|g__JABLTI01	genus	g__JABLTI01	g__JABLTI01
GB_GCA_018238155.1	0.21631					1|2|1243|1693|3827|3828|3829|8906|8907	root|d__Archaea|p__Asgardarchaeota|c__Heimdallarchaeia|o__JABLTI01|f__JABLTI01|g__JABLTI01|s__JABLTI01 sp018238155|GB_GCA_018238155.1	subspecies	s__JABLTI01 sp018238155	GB_GCA_018238155.1
N4326	0.1343				S	1|2|1243|1693|5357|5358|5359	root|d__Archaea|p__Asgardarchaeota|c__Heimdallarchaeia|o__Hodarchaeales|f__Hodarchaeaceae|g__Hodarchaeum	genus	g__Hodarchaeum	g__Hodarchaeum
GB_GCA_016839515.1	0.23216					1|2|1243|1693|5357|5358|5359|10103|10104	root|d__Archaea|p__Asgardarchaeota|c__Heimdallarchaeia|o__Hodarchaeales|f__Hodarchaeaceae|g__Hodarchaeum|s__Hodarchaeum mangrovi|GB_GCA_016839515.1	subspecies	s__Hodarchaeum mangrovi	GB_GCA_016839515.1
N4331	0.11026				S	1|2|1243|1693|5357|5358|5359	root|d__Archaea|p__Asgardarchaeota|c__Heimdallarchaeia|o__Hodarchaeales|f__Hodarchaeaceae|g__Hodarchaeum	genus	g__Hodarchaeum	g__Hodarchaeum
GB_GCA_016840285.1	0.1373					1|2|1243|1693|5357|5358|5359|7597|7598	root|d__Archaea|p__Asgardarchaeota|c__Heimdallarchaeia|o__Hodarchaeales|f__Hodarchaeaceae|g__Hodarchaeum|s__Hodarchaeum sp016840285|GB_GCA_016840285.1	subspecies	s__Hodarchaeum sp016840285	GB_GCA_016840285.1
N4471	0.02201				S	1|2|178|179|180|181|182	root|d__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A	genus	g__Methanobrevibacter_A	g__Methanobrevibacter_A
RS_GCF_001639275.1	0.09537					1|2|178|179|180|181|182|2471|2475	root|d__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A oralis|RS_GCF_001639275.1	subspecies	s__Methanobrevibacter_A oralis	RS_GCF_001639275.1
RS_GCF_000016525.1	0.01061					1|2|178|179|180|181|182|211|217	root|d__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A smithii|RS_GCF_000016525.1	subspecies	s__Methanobrevibacter_A smithii	RS_GCF_000016525.1
RS_GCF_002252585.1	0.00937					1|2|178|179|180|181|182|470|484	root|d__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A smithii_A|RS_GCF_002252585.1	subspecies	s__Methanobrevibacter_A smithii_A	RS_GCF_002252585.1
GB_GCA_002496065.1	0.04016					1|2|178|179|180|181|182|9827|9828	root|d__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A sp002496065|GB_GCA_002496065.1	subspecies	s__Methanobrevibacter_A sp002496065	GB_GCA_002496065.1
GB_GCA_900766745.1	0.05694					1|2|178|179|180|181|182|4844|4845	root|d__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A sp900766745|GB_GCA_900766745.1	subspecies	s__Methanobrevibacter_A sp900766745	GB_GCA_900766745.1
GB_GCA_900314605.1	0.05685					1|2|178|179|180|181|770|771|782	root|d__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_B|s__Methanobrevibacter_B sp900314605|GB_GCA_900314605.1	subspecies	s__Methanobrevibacter_B sp900314605	GB_GCA_900314605.1
GB_GCA_905235195.1	0.04559					1|2|178|179|180|181|770|10552|10553	root|d__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_B|s__Methanobrevibacter_B sp905235195|GB_GCA_905235195.1	subspecies	s__Methanobrevibacter_B sp905235195	GB_GCA_905235195.1
N4518	0.0114				S	1|2|178|179|180|181|292	root|d__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	genus	g__Methanobrevibacter	g__Methanobrevibacter
RS_GCF_900114585.1	0.04745					1|2|178|179|180|181|292|5161|5162	root|d__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter olleyae|RS_GCF_900114585.1	subspecies	s__Methanobrevibacter olleyae	RS_GCF_900114585.1
RS_GCF_000024185.1	0.04005					1|2|178|179|180|181|292|9629|9630	root|d__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter ruminantium|RS_GCF_000024185.1	subspecies	s__Methanobrevibacter ruminantium	RS_GCF_000024185.1
GB_GCA_900321995.1	0.05397					1|2|178|179|180|181|292|4791|4793	root|d__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter sp900321995|GB_GCA_900321995.1	subspecies	s__Methanobrevibacter sp900321995	GB_GCA_900321995.1
N4532	0.05394				S	1|2|178|179|180|181|2901	root|d__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_C	genus	g__Methanobrevibacter_C	g__Methanobrevibacter_C
GB_GCA_003315655.1	0.08048					1|2|178|179|180|181|2901|5725|5726	root|d__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_C|s__Methanobrevibacter_C sp003315655|GB_GCA_003315655.1	subspecies	s__Methanobrevibacter_C sp003315655	GB_GCA_003315655.1
N4592	0.02393				S	1|2|178|179|180|181	root|d__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	family	f__Methanobacteriaceae	f__Methanobacteriaceae
N4615	0.03745				S	1|2|178|179|180|181	root|d__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	family	f__Methanobacteriaceae	f__Methanobacteriaceae
N4651	0.03121				S	1|2|178|179|180|181|1565	root|d__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera	genus	g__Methanosphaera	g__Methanosphaera
GB_GCA_015062815.1	0.09448					1|2|178|179|180|181|1565|7570|7571	root|d__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera stadtmanae_B|GB_GCA_015062815.1	subspecies	s__Methanosphaera stadtmanae_B	GB_GCA_015062815.1
N4657	0.00972				S	1|2|178|179|180|181|4473	root|d__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium_D	genus	g__Methanobacterium_D	g__Methanobacterium_D
GB_GCA_002509665.1	0.02045					1|2|178|179|180|181|4473|5526|5527	root|d__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium_D|s__Methanobacterium_D sp002509665|GB_GCA_002509665.1	subspecies	s__Methanobacterium_D sp002509665	GB_GCA_002509665.1
